id,dimension,measure,indicator,subset_if_diff,figure  ,title,tool_tip_desc,numerator,num_source,denominator,den_source,include_source,Notes,,
1014,Economic,Unemployment,Unemployment,,2,Unemployment Over Time,People ages 16+ in the civilian labor force who are unemployed over time.,Number of people 16+ in the civilian noninstitutional labor force who are unemployed.,IWD,Total number of people 16+ in the civilian noninstitutional labor force.,IWD,,,,
1015,Economic,Unemployment,Unemployment,,3,Unemployment by Race and Ethnicity,People ages 16+ in the civilian labor force who are unemployed by race.,"Number of people 16+ in the civilian labor force who are unemployed, by race.",ACS,"Total number of people 16+ in the civilian labor force, by race.",ACS,,,,
1016,Economic,Homelessness,Point in Time (PIT),,1,Homelessness,"Number of people experiencing homelessness per 10,000 population.","Number of people experiencing homelessness, by type.",ICA,"Total number of people divided by 10,000.",ACS,x,,,
1017,Economic,Homelessness,Point in Time (PIT),,2,Homelessness Over Time,"Number of people experiencing homelessness per 10,000 population over time.","Number of people experiencing homelessness, by type.",ICA,"Total number of people divided by 10,000.",ACS,x,,,
1018,Economic,Homelessness,Point in Time (PIT),,3,Homelessness by Race and Ethnicity for State,"Number of people experiencing homelessness per 10,000 population by race.","Number of people experiencing homelessness, by type and race.",HUD,"Total number of people divided by 10,000, by race.",ACS,x,"Race breakout by type is only available for years 2018-2023. When 2024 data is available, then we'll have the race breakout by county from ICA. ",,
1019,Economic,Homelessness,Students Facing Homelessness,,1,Students Facing Homelessness,Public school students experiencing homelessness.,"Number of homeless K-12 students enrolled in school , by school type.",IA DOEd,"Total number of K-12 students enrolled in school, by school type.",IA DOEd,,,,
1020,Economic,Homelessness,Students Facing Homelessness,,2,Students Facing Homelessness Over Time,Public school students experiencing homelessness over time.,"Number of homeless K-12 students enrolled in school, by school type.",IA DOEd,"Total number of K-12 students enrolled in school, by school type.",IA DOEd,,,,
1021,Economic,Homelessness,Students Facing Homelessness,,3,Students Facing Homelessness by School Grade Level,Public school students experiencing homelessness by school grade level.,"Number of homeless K-12 students enrolled in school, by school grade level.",IA DOEd,"Total number of K-12 students enrolled in school, by school grade level.",IA DOEd,,,,
1022,Demographic,Child Demographics,Child Age,,1,Child Age,All children by age group.,Number of children by age group.,ACS,Total number of children under 18 years old.,ACS,,,,
1023,Demographic,Child Demographics,Child Age,,2,Child Age Over Time,All children by age group over time.,Number of children by age group.,ACS,Total number of children under 18 years old.,ACS,,,,
1024,Demographic,Child Demographics,Child Age,,3,Child Age Groups,All children by age group.,Number of children by age group.,ACS,Total number of children under 18 years old.,ACS,,,,
1025,Demographic,Child Demographics,Child Race and Ethnicity,,1,Child Race and Ethnicity,Children by race and age group.,Number of children by race and age group.,ACS,Total number of children by age group.,ACS,,,,
1026,Demographic,Child Demographics,Child Race and Ethnicity,,2,Child Race and Ethnicity Over Time,Children by race and age group over time.,Number of children by race and age group.,ACS,Total number of children by age group.,ACS,,,,
1027,Demographic,Child Demographics,Child Race and Ethnicity,,3,Child Race and Ethnicity,Children by race and age group.,Number of children by race and age group.,ACS,Total number of children by age group.,ACS,,,,
1028,Demographic,Household Characteristics,Household Type,,1,Household Type for Children,Children by household type and age group.,Number of children by household type and age group.,ACS,Total number of children by age group.,ACS,,,,
1029,Demographic,Household Characteristics,Household Type,,2,Household Type for Children Over Time,Children by household type and age group over time.,Number of children by household type and age group.,ACS,Total number of children by age group.,ACS,,,,
1030,Demographic,Household Characteristics,Household Type,,3,Household Type for Children,Children by household type and age group.,Number of children by household type and age group.,ACS,Total number of children by age group.,ACS,,,,
1031,Demographic,Household Characteristics,Working Parents,,1,Working Parents with Children < 6,Children under 6 years of age by parental work status.,Number of children under 6 years of age by parental work status.,ACS,Total number of children under 6 years of age.,ACS,,,,
1032,Demographic,Household Characteristics,Working Parents,,2,Working Parents with Children < 6 Over Time,Children under 6 years of age by parental work status over time.,Number of children under 6 years of age by parental work status.,ACS,Total number of children under 6 years of age.,ACS,,,,
1033,Demographic,Household Characteristics,Working Parents,,3,Working Parents with Children < 6 by Type,Children under 6 years of age by parental work status.,Number of children under 6 years of age by parental work status.,ACS,Total number of children under 6 years of age.,ACS,,,,
1034,Demographic,Household Characteristics,Language Spoken at Home,,1,Language Spoken at Home for Children 5 to 17,Children ages 5-17 by language spoken at home.,Number of children ages 5-17 by language spoken at home.,ACS,Total number of children ages 5-17.,ACS,,,,
1035,Demographic,Household Characteristics,Language Spoken at Home,,2,Language Spoken at Home for Children 5 to 17 Over Time,Children ages 5-17 by language spoken at home over time.,Number of children ages 5-17 by language spoken at home.,ACS,Total number of children ages 5-17.,ACS,,,,
1036,Demographic,Household Characteristics,Language Spoken at Home,,3,Language Spoken at Home for Children 5 to 17 by Poverty,Children ages 5-17 by language spoken at home and federal poverty level.,Number of children ages 5-17 by language spoken at home and poverty level.,ACS,"Total number of children ages 5-17, by language spoken at home.",ACS,,,,
1037,Demographic,Household Characteristics,Transportation,,1,Transportation to Work,People leaving for work by means of transportation.,Number of people by means of transportation to work.,ACS,Total number of people leaving for work.,ACS,,,,
1038,Demographic,Household Characteristics,Transportation,,2,Transportation to Work Over Time,People leaving for work by means of transportation over time.,Number of people by means of transportation to work.,ACS,Total number of people leaving for work.,ACS,,,,
1039,Demographic,Household Characteristics,Transportation,,3,Transportation to Work by Federal Poverty Level,People leaving for work by means of transportation and federal poverty level.,Number of people by federal poverty level and means of transportation to work.,ACS,Total number of people leaving for work by means of transportation.,ACS,,,,
1040,Demographic,Household Characteristics,Work Schedules,,1,Non-Standard Work Hours,People leaving for work between 4:00 p.m. and 6:00 a.m.,Number people leaving for work at non-standard hours.,ACS,Total number of people leaving for work.,ACS,,,,
1041,Demographic,Household Characteristics,Work Schedules,,2,Non-Standard Work Hours Over Time,People leaving for work between 4:00 p.m. and 6:00 a.m. over time.,Number people leaving for work at non-standard hours.,ACS,Total number of people leaving for work.,ACS,,,,
1042,Demographic,Household Characteristics,Work Schedules,,3,Non-Standard Work Hours,People leaving for work between 4:00 p.m. and 6:00 a.m.,Number people leaving for work at non-standard hours.,ACS,Total number of people leaving for work.,ACS,,,,
1043,Demographic,Household Characteristics,Technology Access,Computing Device,1,Household Computing Devices,Households by computing device type.,Number of households by computing device type.,ACS,Total number of households.,ACS,,,,
1044,Demographic,Household Characteristics,Technology Access,Computing Device,2,Household Computing Devices Over Time,Households by computing device type over time.,Number of households by computing device type.,ACS,Total number of households.,ACS,,,,
1045,Demographic,Household Characteristics,Technology Access,Computing Device,3,Household Computing Devices by Type,Households by computing device type.,Number of households by computing device type.,ACS,Total number of households.,ACS,,,,
1046,Demographic,Household Characteristics,Technology Access,Internet Access,1,Household Internet Access,Households with a computer by internet access type.,Number of households with a computer by internet access.,ACS,Total number of households with a computer.,ACS,,,,
1047,Demographic,Household Characteristics,Technology Access,Internet Access,2,Household Internet Access Over Time,Households with a computer by internet access type over time.,Number of households with a computer by internet access.,ACS,Total number of households with a computer.,ACS,,,,
1048,Demographic,Household Characteristics,Technology Access,Internet Access,3,Household Internet Access by Type,Households with a computer by internet access type.,Number of households with a computer by internet access.,ACS,Total number of households with a computer.,ACS,,,,
1049,Health and Social Needs,Birth Risks,Birth to Teenage Mother,,1,Birth to Teenage Mother,Children born to mothers under the age of 20 at time of birth.,Number of children born to mothers under the age 20 at time of birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1050,Health and Social Needs,Birth Risks,Birth to Teenage Mother,,2,Birth to Teenage Mother Over Time,Children born to mothers under the age of 20 at time of birth over time.,Number of children born to mothers under the age 20 at time of birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1051,Health and Social Needs,Birth Risks,Birth to Teenage Mother,,3,Birth to Teenage Mother by Race and Ethnicity,Children born to mothers under the age of 20 at time of birth by race and ethnicity.,Number of children born to mothers under the age 20 at time of birth by race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
